,0
256,0111145D UN Equity
96,0202445Q UN Equity
260,0203524D UN Equity
371,0226226D UN Equity
397,0544749D UN Equity
632,0574018D UN Equity
533,0772031D UN Equity
152,0848680D UN Equity
905,0867887D UN Equity
436,0872237D UN Equity
280,0910150D US Equity
498,0948669D UN Equity
257,0961514D UN Equity
401,0964591D UQ Equity
665,0964591D UW Equity
181,1028411Q UN Equity
507,1040983D UQ Equity
423,1051665D UN Equity
155,1086832D UN Equity
111,1255173D UN Equity
216,1255177D UN Equity
829,1255459D UW Equity
544,1280712D UQ Equity
712,1280712D UW Equity
474,1281683D UN Equity
32,1284849D UN Equity
925,1288453D UW Equity
293,1288652D US Equity
573,1293405D UN Equity
404,1312089D UN Equity
136,1317355D UN Equity
245,140402Q UN Equity
367,1431816D UN Equity
919,1431816D UW Equity
359,1436513D UN Equity
758,1448062D UN Equity
790,1448062D UW Equity
574,1500785D UN Equity
455,1518855D US Equity
494,1519128D UQ Equity
740,1519128D UW Equity
664,1520415D UN Equity
588,1524867D UN Equity
512,1528159D UN Equity
794,1539941D UN Equity
539,1541931D UQ Equity
816,1541931D UW Equity
916,1566019D UN Equity
447,1621582D UN Equity
342,1627457D UN Equity
683,1649858D UN Equity
160,1649858D UQ Equity
681,1654539D UN Equity
517,1683351D UQ Equity
479,1683997D UQ Equity
663,1683997D UW Equity
430,1684442D UN Equity
65,1697067D UN Equity
145,1704453D UN Equity
10,1715651D UN Equity
132,1719868D UN Equity
452,1727044D UN Equity
485,1746513D UQ Equity
759,1746513D UW Equity
33,1752754D UN Equity
439,1778808D UQ Equity
28,1789494D UN Equity
186,1799685D UN Equity
836,1806854D UN Equity
747,1810430D UN Equity
756,1812212D UW Equity
191,1822785D UN Equity
178,1825471D UN Equity
557,1831877D UN Equity
393,1837572D UN Equity
608,1856613D UN Equity
526,1858968D UN Equity
444,1916672D UN Equity
402,1920486D UQ Equity
680,1920486D UW Equity
138,1922150D UN Equity
638,1927294D UN Equity
42,1972693D UN Equity
235,2269312Q UN Equity
205,228510Q UN Equity
514,2307532Q UQ Equity
687,2307532Q UW Equity
237,236555Q UN Equity
217,253647Q UN Equity
386,2641504Q UN Equity
189,2676187Q UQ Equity
195,2727195Q UN Equity
445,2731112Q UN Equity
450,285939Q UN Equity
227,291784Q UN Equity
379,2942331Q UN Equity
240,2953349Q UN Equity
123,2968900Q UN Equity
196,297504Q UN Equity
513,2987536Q UN Equity
162,2999130Q UN Equity
449,300583Q UN Equity
233,301710Q UN Equity
118,3022239Q UN Equity
406,3026360Q UN Equity
188,3029830Q UQ Equity
224,304024Q UN Equity
215,3075558Q UN Equity
170,3080867Q UN Equity
396,3133754Q UN Equity
521,3153670Q UQ Equity
434,3253Q UN Equity
94,3277Q UN Equity
375,3286728Q UN Equity
426,329556Q UN Equity
446,3301Q UN Equity
432,3346Q UN Equity
686,3362726Q UN Equity
115,3393199Q UN Equity
387,3403545Q UN Equity
540,3414924Q US Equity
121,3423152Q UN Equity
109,3517233Q UN Equity
593,355488Q UN Equity
204,355488Q UQ Equity
151,3605818Q UN Equity
415,3621240Q UN Equity
129,3692470Q UN Equity
19,41018Q US Equity
442,45200Q UN Equity
542,4621824Q UN Equity
295,502466Q US Equity
595,519239Q UN Equity
577,519239Q UQ Equity
206,544791Q UN Equity
589,5656565D UN Equity
243,571300Q UN Equity
522,605018Q UN Equity
187,605555Q UN Equity
363,653707Q UN Equity
448,667517Q UN Equity
210,677004Q UN Equity
421,680884Q UN Equity
234,68335Q UN Equity
412,723588Q UN Equity
429,739306Q UN Equity
418,748957Q UN Equity
592,764144Q UN Equity
635,8206908Q UQ Equity
684,8206908Q UW Equity
199,8214761Q UN Equity
453,827663Q UN Equity
628,8277831Q UN Equity
621,8394653Q UN Equity
528,89236Q UN Equity
166,929530Q UN Equity
416,945852Q UN Equity
212,950967Q UN Equity
408,987200Q UN Equity
571,9876544D UN Equity
934,9876549D UN Equity
53,9876566D UN Equity
262,9995522D UN Equity
530,A UN Equity
301,AA UN Equity
979,AAL UW Equity
300,AAMRQ UN Equity
994,AAP UN Equity
476,AAPL UQ Equity
690,AAPL UW Equity
932,ABBV UN Equity
580,ABC UN Equity
505,ABKFQ UN Equity
1085,ABMD UW Equity
29,ABT UN Equity
800,ACAS UW Equity
232,ACKH UN Equity
895,ACN UN Equity
475,ADBE UQ Equity
688,ADBE UW Equity
324,ADI UN Equity
911,ADI UW Equity
325,ADM UN Equity
468,ADP UN Equity
804,ADP UW Equity
949,ADS UN Equity
477,ADSK UQ Equity
666,ADSK UW Equity
0,AEE UN Equity
323,AEP UN Equity
1129,AEP UW Equity
413,AES UN Equity
529,AET UN Equity
31,AFL UN Equity
228,AFS UN Equity
229,AGN UN Equity
318,AIG UN Equity
620,AIV UN Equity
791,AIZ UN Equity
1004,AJG UN Equity
783,AKAM UW Equity
834,AKS UN Equity
1019,ALB UN Equity
1058,ALGN UW Equity
1009,ALK UN Equity
242,ALL UN Equity
941,ALLE UN Equity
927,ALXN UW Equity
486,AMAT UQ Equity
699,AMAT UW Equity
587,AMCC UQ Equity
1108,AMCR UN Equity
30,AMD UN Equity
1031,AMD UR Equity
1088,AMD UW Equity
938,AME UN Equity
955,AMG UN Equity
285,AMGN UQ Equity
689,AMGN UW Equity
657,AMP UN Equity
764,AMT UN Equity
662,AMZN UQ Equity
731,AMZN UW Equity
615,AN UN Equity
773,ANDV UN Equity
399,ANDW UQ Equity
1068,ANET UN Equity
763,ANF UN Equity
902,ANRZQ UN Equity
1047,ANSS UW Equity
607,ANTM UN Equity
70,AON UN Equity
1042,AOS UN Equity
37,APA UN Equity
1127,APA UW Equity
35,APC UN Equity
3,APD UN Equity
825,APH UN Equity
613,APOL UQ Equity
667,APOL UW Equity
929,APTV UN Equity
1054,ARE UN Equity
847,ARG UN Equity
465,ASH UN Equity
857,ATGE UN Equity
456,ATI UN Equity
1090,ATO UN Equity
981,ATVI UW Equity
780,AVB UN Equity
950,AVGO UW Equity
39,AVP UN Equity
38,AVY UN Equity
114,AW UN Equity
575,AWE UN Equity
1001,AWK UN Equity
302,AXP UN Equity
534,AYE UN Equity
1026,AYI UN Equity
214,AZA UN Equity
327,AZO UN Equity
304,BA UN Equity
15,BAC UN Equity
45,BAX UN Equity
487,BBBY UQ Equity
700,BBBY UW Equity
365,BBWI UN Equity
329,BBY UN Equity
276,BC UN Equity
44,BCR UN Equity
98,BDK UN Equity
328,BDX UN Equity
355,BEN UN Equity
331,BF/B UN Equity
523,BGEN UQ Equity
321,BGGSQ UN Equity
1030,BHF UW Equity
40,BHI UN Equity
225,BHMSQ UN Equity
339,BIG UN Equity
618,BIIB UQ Equity
709,BIIB UW Equity
1121,BIO UN Equity
43,BK UN Equity
866,BKNG UW Equity
1029,BKR UN Equity
898,BLK UN Equity
41,BLL UN Equity
149,BLS UN Equity
582,BMC UN Equity
322,BMC UQ Equity
856,BMC UW Equity
46,BMS UN Equity
49,BMY UN Equity
102,BNI UN Equity
385,BOL UN Equity
1065,BR UN Equity
550,BRCM UQ Equity
734,BRCM UW Equity
876,BRK/B UN Equity
682,BRL UN Equity
48,BSX UN Equity
737,BTUUQ UN Equity
501,BVSN UQ Equity
894,BWA UN Equity
990,BXLT UN Equity
732,BXP UN Equity
21,C UN Equity
470,CA UN Equity
806,CA UW Equity
337,CAG UN Equity
420,CAH UN Equity
821,CAM UN Equity
364,CAR UN Equity
1114,CARR UN Equity
7,CAT UN Equity
598,CB UN Equity
60,CBE UN Equity
1066,CBOE UF Equity
1033,CBOE UW Equity
743,CBRE UN Equity
56,CCEP UN Equity
928,CCI UN Equity
326,CCK UN Equity
333,CCL UN Equity
