Date,LnShEq,EqMktNtr,DedShBs,GlobalMac ,MngdFut ,EmgMkts,EvntDrvn , CnvrtArb ,FxIncArb ,HFIndex,LRF,MktRF,SMB,HML,RMW,CMA,UMD,BondMkt,CreditS,PTFSBD,PTFSFX,PTFSCOM,LiqPS,LiqSadka,AlphaQuest,Transtrend,VFINX,VEXMX,NAESX,VVIAX,VBINX,VIMSX,VISGX,VISVX,MTUM,TSMOM,TSMOMCM,TSMOMEQ,TSMOMFI,TSMOMFX
1994-01-31,0.012,-0.0052,-0.016,0.0017,0.0022,0.1054,0.0368,0.0036,0.013,0.0114,0.0025,0.0287,-0.0006,0.0115,-0.0166,0.0143,0,-0.0002,-0.0002,-0.132,-0.301,-0.222,-0.0032,0.0022,,,3.38%,2.92%,3.62%,,2.27%,,,,,1.13%,-1.13%,11.18%,2.24%,-2.89%
1994-02-28,-0.0247,0.0024,0.02,-0.0565,0.012,-0.0114,-0.0015,0.0015,-0.02,-0.0409,0.0021,-0.0255,0.0267,-0.0154,0.0214,-0.01,-0.003,0.0022,-0.0011,0.459,0.136,-0.137,0.0087,0.0027,,,-2.71%,-1.46%,-0.35%,,-2.14%,,,,,-4.76%,0.66%,-10.22%,-25.87%,4.76%
1994-03-31,-0.039,-0.0024,0.0719,-0.0427,0.026,-0.0461,-0.0129,-0.0097,-0.0168,-0.0357,0.0027,-0.0478,-0.0104,0.016,0.0069,0.0128,-0.0127,0.0051,-0.0014,0.362,-0.11,0.025,0.0258,-0.0008,,,-4.39%,-4.48%,-5.09%,,-3.58%,,,,,-6.45%,-1.54%,-10.21%,-21.80%,-1.54%
1994-04-30,-0.0156,0.0025,0.0128,-0.0159,0.0086,-0.0836,-0.0066,-0.0252,-0.002,-0.0174,0.0027,0.0068,-0.0101,0.0166,0.0107,0.0111,0.0039,0.0049,-0.001,0.113,-0.077,0.005,0.0056,-0.0005,,,1.29%,0.84%,0.74%,,0.09%,,,,,-0.27%,-1.99%,3.93%,-3.81%,2.99%
1994-05-31,0.0057,-0.0011,0.0225,0.038,0.0076,-0.0073,-0.0015,-0.0102,0.0079,0.0223,0.0031,0.0058,-0.0256,0.0067,0.006,0.0068,-0.0219,0.0021,-0.0011,0.06,-0.292,-0.028,0.0317,0.001,,,1.61%,-0.44%,-0.87%,,0.63%,,,,,0.45%,6.32%,-7.43%,-2.89%,-2.59%
1994-06-30,-0.0231,0.007,0.0635,-0.0092,0.0415,0.0047,-0.0013,0.0021,-0.004,-0.0081,0.0031,-0.0303,-0.005,0.0167,0.0121,0.0147,-0.0087,-0.0008,0.0011,0.201,0.28,-0.076,0.0001,-0.0014,,,-2.45%,-3.09%,-3.24%,,-1.71%,,,,,-1.27%,-1.27%,-10.23%,2.56%,2.29%
1994-07-31,0.0129,-0.01,-0.0118,-0.0035,-0.0101,0.0581,0.0054,0.0014,-0.0018,0.0035,0.0028,0.0282,-0.0185,0.0058,-0.0065,0.0014,0.001,0.002,-0.0005,-0.197,-0.058,-0.055,-0.0085,-0.0002,,,3.28%,2.69%,1.77%,,2.56%,,,,,-1.96%,-2.64%,0.70%,-6.21%,0.95%
1994-08-31,0.0164,-0.0099,-0.0566,0.0275,-0.0027,0.1642,0.0082,-0.0004,-0.0009,0.0277,0.0037,0.0401,0.0137,-0.0251,0.0095,-0.0147,0.0155,-0.0006,0,-0.095,-0.143,-0.108,0.0063,-0.0007,,,4.07%,4.88%,5.50%,,2.68%,,,,,1.98%,3.93%,1.39%,-1.44%,1.39%
1994-09-30,0.0025,-0.0094,0.0158,0.0025,0.0203,0.052,0.0075,-0.0119,0.007,0.0067,0.0037,-0.0231,0.028,-0.0189,0.0052,0.0093,0.0131,0.0022,0.0002,0.113,-0.053,0.011,0.0318,0.0004,,,-2.44%,-1.01%,-0.31%,,-1.83%,,,,,2.76%,3.84%,-4.34%,9.03%,0.72%
1994-10-31,0.0027,-0.0037,-0.0041,-0.0222,0.0118,-0.0351,-0.0073,-0.0136,0.0089,-0.0135,0.0038,0.0134,-0.023,-0.0162,0.0023,-0.0068,0.0149,0.0028,-0.0006,-0.13,0.044,-0.093,0.0111,-0.0003,,,2.25%,0.51%,-0.40%,,0.89%,,,,,1.65%,4.22%,-3.10%,1.94%,-0.20%
