Date,AU,GR,CA,JP,NZ,SW,SZ,UK,US
1979-12-31,,,,,,,,,
1980-01-31,-0.000444,-0.012384,0.005701,-0.002052,-0.001362,-0.006747,-0.025869,0.023979,0.000000
1980-02-29,-0.011935,-0.024018,0.012533,-0.050103,-0.015811,-0.014158,-0.046015,0.007125,0.000000
1980-03-31,-0.019402,-0.096527,-0.045007,-0.005098,-0.035265,-0.065007,-0.093389,-0.049313,0.000000
1980-04-30,0.026340,0.074189,0.005215,0.043219,0.022791,0.055034,0.096164,0.045273,0.000000
1980-05-30,0.026179,0.007325,0.024725,0.065035,0.021217,0.003622,-0.000366,0.032736,0.000000
1980-06-30,0.016560,0.016250,0.010835,0.031096,0.002450,0.014207,0.025081,0.019283,0.000000
1980-07-31,-0.002527,-0.016017,-0.013996,-0.038753,-0.011619,-0.002843,-0.025473,-0.002534,0.000000
1980-08-29,0.012564,-0.005362,0.009300,0.040478,0.008735,-0.002359,-0.001172,0.024229,0.000000
1980-09-30,0.004894,-0.013882,-0.014230,0.038916,-0.001076,0.000461,-0.005326,0.002393,0.000000
1980-10-31,-0.000173,-0.054996,0.005057,-0.006715,-0.005548,-0.024190,-0.045623,0.022089,0.000000
1980-11-28,-0.010384,-0.013564,-0.021078,-0.026775,-0.022087,-0.019438,-0.020036,-0.031728,0.000000
1980-12-31,0.008157,-0.030475,-0.002776,0.056297,-0.002480,-0.019578,-0.028017,0.008556,0.000000
1981-01-30,-0.013965,-0.075823,-0.008614,-0.017876,-0.019778,-0.048284,-0.086727,-0.003736,0.000000
1981-02-27,-0.013648,-0.011951,-0.003937,-0.020960,-0.032222,-0.018271,-0.031515,-0.077178,0.000000
1981-03-31,0.008839,0.011279,0.014000,-0.017445,-0.006908,0.009909,0.021396,0.013849,0.000000
1981-04-30,-0.014306,-0.054282,-0.008827,-0.023669,-0.024964,-0.037959,-0.059906,-0.055671,0.000000
1981-05-29,-0.012703,-0.050815,-0.003858,-0.048346,-0.032623,-0.042457,-0.028723,-0.032365,0.000000
1981-06-30,0.007151,-0.032660,0.002071,-0.019473,-0.030798,-0.032900,0.013067,-0.064894,0.000000
1981-07-31,-0.013034,-0.034155,-0.025940,-0.063882,-0.033689,-0.032876,-0.054547,-0.047672,0.000000
1981-08-31,0.007411,0.000796,0.028285,0.032604,-0.007524,-0.002434,-0.011923,-0.011685,0.000000
1981-09-30,-0.007075,0.048289,0.000256,-0.019438,-0.010452,-0.073913,0.075000,-0.023551,0.000000
1981-10-30,-0.005854,0.030555,0.001499,-0.009145,0.003611,0.003427,0.072391,0.018165,0.000000
1981-11-30,0.013887,0.017457,0.026837,0.080814,0.015471,0.023438,0.038992,0.067769,0.000000
1981-12-31,-0.019623,-0.019073,-0.007654,-0.029645,-0.022804,-0.020289,-0.019623,-0.029752,0.000000
1982-01-29,-0.030717,-0.031625,-0.005444,-0.043111,-0.023979,-0.024680,-0.028877,-0.007706,0.000000
1982-02-26,-0.016555,-0.034400,-0.026670,-0.042534,-0.029177,-0.027297,-0.031170,-0.034441,0.000000
1982-03-31,-0.018739,-0.016527,-0.001944,-0.050882,-0.027999,-0.029051,-0.028594,-0.022914,0.000000
1982-04-30,0.016296,0.031895,0.011120,0.049003,0.008015,0.021782,-0.016081,0.009097,0.000000
1982-05-31,-0.008779,-0.012804,-0.018708,-0.042235,-0.017814,-0.010076,-0.033361,-0.005959,0.000000
1982-06-30,-0.025675,-0.047248,-0.038079,-0.047894,-0.025176,-0.043374,-0.051948,-0.029444,0.000000
1982-07-30,-0.026362,-0.006269,0.029670,-0.015439,-0.011383,0.000829,-0.004752,-0.002421,0.000000
1982-08-31,-0.023921,-0.020623,0.016287,-0.017237,-0.010505,-0.013232,-0.027033,-0.014959,0.000000
1982-09-30,-0.014005,-0.014286,0.006105,-0.034440,-0.017259,-0.018524,-0.024624,-0.013600,0.000000
1982-10-29,-0.011247,-0.015848,0.008480,-0.035246,-0.014537,-0.156799,-0.023811,-0.011207,0.000000
1982-11-30,0.025130,0.030969,-0.010768,0.098008,0.015300,0.005455,0.032582,-0.037057,0.000000
1982-12-31,0.026808,0.038794,0.008277,0.071452,0.022876,0.016342,0.062855,0.000839,0.000000
1983-01-31,-0.009690,-0.033280,-0.001169,-0.020965,-0.019796,-0.024007,-0.010626,-0.054249,0.000000
1983-02-28,-0.012582,0.006710,0.006132,0.005690,0.003881,-0.000762,-0.030650,-0.003434,0.000000
1983-03-31,-0.090879,0.000299,-0.004107,-0.006394,-0.088972,-0.006440,-0.015211,-0.021895,0.000000
1983-04-29,0.007304,-0.016776,0.007276,0.002861,0.013804,0.004154,0.006761,0.053783,0.000000
1983-05-31,0.019486,-0.029215,-0.005275,-0.009289,0.006115,-0.004203,-0.020346,0.028811,0.000000
1983-06-30,-0.004195,-0.008898,0.003254,-0.003217,-0.012894,-0.012689,-0.005466,-0.043775,0.000000
1983-07-29,0.008147,-0.043737,-0.004555,-0.013427,0.000598,-0.016632,-0.017446,-0.007329,0.000000
1983-08-31,-0.001421,-0.027030,-0.001910,-0.024732,-0.001895,-0.025100,-0.035125,-0.020889,0.000000
1983-09-30,0.023130,0.023804,0.001288,0.045064,0.011789,0.017327,0.028500,0.001856,0.000000
1983-10-31,0.020019,-0.002666,-0.000712,0.004867,0.005746,-0.002189,-0.013361,-0.001167,0.000000
1983-11-30,0.002376,-0.025881,-0.004651,0.005418,-0.004357,-0.014951,-0.012418,-0.017935,0.000000
1983-12-30,-0.019653,-0.014637,0.001270,-0.001063,-0.009531,-0.007315,-0.014248,-0.012578,0.000000
1984-01-31,0.021720,-0.034994,-0.010319,-0.016093,-0.006853,-0.021696,-0.033810,-0.032267,0.000000
1984-02-29,0.019004,0.082099,-0.002339,0.002595,0.026899,0.055737,0.031651,0.062008,0.000000
1984-03-30,0.004573,-0.001375,-0.020771,0.038816,-0.003651,0.003951,0.001597,-0.033531,0.000000
1984-04-30,-0.016055,-0.052074,-0.004057,-0.016979,-0.016827,-0.034874,-0.047893,-0.033683,0.000000
1984-05-31,-0.020907,-0.010046,-0.009423,-0.025149,-0.014252,-0.013079,-0.013036,-0.008556,0.000000
1984-06-29,-0.036272,-0.020294,-0.017937,-0.026136,-0.023397,-0.014877,-0.033599,-0.023065,0.000000
1984-07-31,-0.035999,-0.043923,0.005271,-0.035383,-0.224179,-0.025549,-0.061189,-0.036137,0.000000
1984-08-31,0.016706,-0.004958,0.011955,0.006243,0.008721,0.007785,0.015678,-0.000524,0.000000
1984-09-28,-0.019308,-0.056227,-0.015137,-0.020605,-0.023631,-0.034343,-0.047473,-0.050270,0.000000
1984-10-31,0.019586,-0.001636,0.000015,-0.004091,0.007224,-0.005898,0.002372,-0.023695,0.000000
1984-11-30,0.011868,-0.021503,-0.001781,-0.008605,-0.006020,-0.015093,-0.022501,-0.012125,0.000000
1984-12-31,-0.035810,-0.019719,0.003470,-0.017317,-0.013396,-0.017514,-0.022745,-0.033683,0.000000
1985-01-31,-0.009458,-0.008718,-0.005249,-0.017140,-0.007347,-0.006018,-0.032593,-0.024633,0.000000
1985-02-28,-0.114490,-0.050968,-0.039601,-0.018215,-0.056836,-0.042635,-0.060794,-0.036564,0.000000
1985-03-29,-0.021690,0.075663,0.012639,0.028562,0.054350,0.059186,0.085437,0.140493,0.000000
1985-04-30,-0.076159,-0.002414,0.002505,-0.002870,-0.020300,-0.005106,0.003395,0.013920,0.000000
1985-05-31,0.027686,-0.001216,-0.006034,-0.002691,0.005044,0.011115,-0.006282,0.027477,0.000000
1985-06-28,0.021006,0.017549,0.012974,0.013175,0.081057,0.020694,0.023929,0.031149,0.000000
1985-07-31,0.091522,0.083246,0.022419,0.049848,0.078302,0.062916,0.108951,0.093749,0.000000
1985-08-30,-0.023972,-0.001976,-0.021799,-0.004306,0.048312,0.003567,-0.003335,-0.016493,0.000000
1985-09-30,0.008757,0.041350,-0.004358,0.094943,0.024473,0.031560,0.042729,0.008070,0.000000
1985-10-31,-0.000155,0.021042,0.003174,0.024640,0.051288,0.029761,0.019818,0.029582,0.000000
1985-11-29,-0.015599,0.036194,-0.009162,0.044702,0.003795,0.031857,0.025440,0.031539,0.000000
1985-12-31,0.004112,0.018964,-0.012722,0.005911,-0.124988,0.010479,0.001527,-0.026196,0.000000
1986-01-31,0.058248,0.027068,-0.017729,0.038752,0.074918,0.010578,0.017424,-0.016974,0.000000
1986-02-28,-0.014352,0.075837,0.001125,0.072334,-0.025388,0.054077,0.079721,0.037410,0.000000
1986-03-31,0.028935,-0.056474,0.025585,0.010266,0.039266,-0.024862,-0.040515,0.009091,0.000000
1986-04-30,0.042339,0.077153,0.015640,0.059062,0.102537,0.048023,0.067513,0.057478,0.000000
1986-05-30,-0.027392,-0.067336,0.001229,-0.039742,-0.030325,-0.044277,-0.057428,-0.047502,0.000000
1986-06-30,-0.055888,0.054874,-0.005896,0.061346,-0.021891,0.038807,0.071610,0.044524,0.000000
1986-07-31,-0.109458,0.048704,0.006220,0.064324,-0.042600,0.022440,0.068858,-0.026219,0.000000
1986-08-29,0.029941,0.027838,-0.006729,-0.004634,-0.058757,0.014828,0.022057,0.001084,0.000000
1986-09-30,0.043031,0.002021,0.005174,-0.000528,0.011354,-0.002085,-0.003754,-0.023653,0.000000
1986-10-31,0.029350,-0.021033,0.000220,-0.058136,0.047701,-0.017556,-0.043359,-0.025473,0.000000
1986-11-28,0.021247,0.046538,0.006710,0.009827,0.008374,0.027083,0.043907,0.025972,0.000000
1986-12-31,0.029261,0.016417,0.003982,0.011884,0.054976,0.013483,0.007108,0.030656,0.000000
1987-01-30,0.002522,0.054665,0.031020,0.036297,0.030396,0.040943,0.047194,0.026157,0.000000
1987-02-27,0.030653,0.003817,0.007967,0.003355,0.048515,0.017051,0.006993,0.028872,0.000000
1987-03-31,0.052263,0.011016,0.017716,0.046611,0.029815,0.026724,0.018739,0.041822,0.000000
1987-04-30,0.000996,0.003570,-0.019427,0.036652,0.028962,0.010119,0.020403,0.037508,0.000000
1987-05-29,0.018317,-0.017338,-0.001988,-0.024632,0.005793,-0.011129,-0.028240,-0.018260,0.000000
1987-06-30,0.017292,-0.005428,0.007007,-0.022968,0.040725,-0.002253,-0.004714,-0.007320,0.000000
1987-07-31,-0.025096,-0.019859,0.003932,-0.022493,-0.032341,-0.012150,-0.017598,-0.011325,0.000000
1987-08-31,0.024944,0.022977,0.008976,0.053032,0.073615,0.016953,0.026561,0.028021,0.000000
1987-09-30,-0.003247,-0.019909,0.008635,-0.032419,0.073570,-0.009534,-0.028224,-0.002920,0.000000
1987-10-30,-0.052998,0.063623,-0.005033,0.055628,-0.080863,0.039099,0.069812,0.061133,0.000000
1987-11-30,0.058913,0.053894,0.007807,0.043747,0.107370,0.045928,0.061744,0.064067,0.000000
1987-12-31,0.024860,0.032222,0.005352,0.086426,0.022598,0.027787,0.047598,0.022589,0.000000
1988-01-29,-0.016163,-0.060466,0.021118,-0.051798,0.016327,-0.035682,-0.068367,-0.055662,0.000000
1988-02-29,0.018263,-0.009951,0.013307,-0.007232,0.007053,0.007738,-0.022945,0.006776,0.000000
1988-03-31,0.035202,0.015025,0.022144,0.031902,-0.010158,0.022509,0.013851,0.065564,0.000000
1988-04-29,0.026998,-0.012121,0.007376,-0.007941,0.034510,0.003240,-0.023294,-0.003055,0.000000
1988-05-31,0.063089,-0.033510,-0.005059,-0.004393,0.038347,-0.016706,-0.036245,-0.020097,0.000000
1988-06-30,-0.011932,-0.055110,0.023980,-0.066548,-0.023448,-0.046111,-0.050747,-0.072407,0.000000
1988-07-29,0.022236,-0.028557,-0.000259,0.004573,-0.009679,-0.017467,-0.032570,0.004393,0.000000
1988-08-31,0.000685,-0.008450,-0.022892,-0.032048,-0.073290,-0.012025,-0.023118,-0.016276,0.000000
1988-09-30,-0.020841,-0.002664,0.021369,0.011999,0.003212,0.009820,-0.006856,0.007243,0.000000
1988-10-31,0.051516,0.057138,-0.000658,0.072316,0.026984,0.047555,0.061810,0.056727,0.000000
1988-11-30,0.071177,0.016767,0.028073,0.021558,0.050755,0.023080,0.022236,0.042267,0.000000
1988-12-30,-0.020433,-0.022838,-0.003934,-0.027888,-0.039318,-0.014644,-0.034822,-0.018510,0.000000
1989-01-31,0.047334,-0.055319,0.009025,-0.040764,-0.036424,-0.033158,-0.059775,-0.026792,0.000000
1989-02-28,-0.099095,0.026139,-0.012246,0.021275,0.031302,0.011304,0.022493,-0.003227,0.000000
1989-03-31,0.029011,-0.042224,0.007133,-0.048740,-0.009431,-0.023798,-0.068141,-0.030655,0.000000
1989-04-28,-0.023679,0.002826,0.010219,-0.007408,0.005186,0.008396,-0.010943,-0.000136,0.000000
1989-05-31,-0.049570,-0.059222,-0.017935,-0.075793,-0.044079,-0.046327,-0.033106,-0.067929,0.000000
1989-06-30,0.012426,0.020810,0.010304,-0.006353,-0.021316,0.011318,0.030165,-0.006019,0.000000
