Date,AU,GR,CA,JP,NZ,SW,SZ,UK,US
1979-12-31,0.100500,0.086875,0.138750,0.081250,0.116737,0.105295,0.058125,0.171250,0.146824
1980-01-31,0.101500,0.085000,0.141250,0.082500,0.120640,0.100520,0.054375,0.178750,0.145024
1980-02-29,0.100500,0.092500,0.141250,0.094375,0.120755,0.110779,0.057500,0.183750,0.172524
1980-03-31,0.129800,0.102500,0.156250,0.121875,0.121786,0.101899,0.071250,0.187500,0.198724
1980-04-30,0.131300,0.093750,0.152500,0.123750,0.120869,0.099783,0.061250,0.173125,0.141824
1980-05-30,0.139300,0.091875,0.113750,0.126875,0.120640,0.106028,0.055000,0.171250,0.102524
1980-06-30,0.141500,0.095000,0.118750,0.126250,0.121098,0.112146,0.057500,0.171875,0.098724
1980-07-31,0.127000,0.084375,0.107500,0.127500,0.120296,0.105295,0.054375,0.160000,0.098124
1980-08-29,0.121800,0.086875,0.108750,0.114375,0.119035,0.107400,0.060625,0.168125,0.123124
1980-09-30,0.113800,0.088750,0.118750,0.114375,0.116737,0.106668,0.059375,0.160000,0.141224
1980-10-31,0.112000,0.091250,0.128750,0.108750,0.116507,0.112146,0.054375,0.170000,0.152524
1980-11-28,0.118000,0.097500,0.141250,0.093750,0.116507,0.108040,0.063125,0.146875,0.181224
1980-12-31,0.125500,0.091875,0.172500,0.094375,0.116852,0.106668,0.055625,0.149375,0.177524
1981-01-30,0.128500,0.095000,0.173750,0.088125,0.115241,0.114420,0.064375,0.137500,0.176224
1981-02-27,0.137500,0.140625,0.171250,0.085625,0.116622,0.138508,0.095625,0.126875,0.167524
1981-03-31,0.153800,0.126250,0.168750,0.075625,0.115816,0.127338,0.077500,0.126250,0.148724
1981-04-30,0.167000,0.126250,0.176250,0.071875,0.115586,0.128326,0.093125,0.125625,0.169324
1981-05-29,0.150500,0.128125,0.186250,0.070000,0.115586,0.126170,0.099375,0.125625,0.178724
1981-06-30,0.160500,0.124375,0.192500,0.071875,0.116046,0.128146,0.097500,0.127500,0.178724
1981-07-31,0.157800,0.125000,0.210000,0.073125,0.116046,0.118411,0.092500,0.146875,0.185024
1981-08-31,0.155800,0.126250,0.222500,0.071875,0.117082,0.117596,0.091875,0.141250,0.185024
